,Player,Year,current_stats,curr_gp,curr_record,prev_stats,prev_gp,prev_record,playoff_stats
88,Kyle Lowry,2019,30.4,65.0,0.7073170731707317,31.2,78.0,0.7195121951219512,32.76
89,Nikola Vučević,2019,39.760000000000005,80.0,0.5121951219512195,31.619999999999997,57.0,0.3048780487804878,0.0
90,Dirk Nowitzki,2019,11.86,51,0.4024390243902439,20.759999999999998,77,0.2926829268292683,0.0
91,Kawhi Leonard,2020,41.5,57,0.6805555555555556,39.32,60,0.7073170731707317,46.1
92,Anthony Davis,2020,41.1,62.0,0.7323943661971831,44.98,56.0,0.4024390243902439,0.0
93,LeBron James,2020,46.9,67.0,0.7323943661971831,47.56,55.0,0.45121951219512196,0.0
94,James Harden,2020,51.22,68.0,0.6111111111111112,53.019999999999996,78.0,0.6463414634146342,47.8
95,Luka Dončić,2020,50.64,61,0.5733333333333334,37.76,72,0.4024390243902439,0.0
96,Ben Simmons,2020,35.36,57,0.589041095890411,36.7,79,0.6219512195121951,29.619999999999997
97,Russell Westbrook,2020,45.08,57.0,0.6111111111111112,49.059999999999995,73.0,0.5975609756097561,46.08
98,Chris Paul,2020,31.64,70.0,0.6111111111111112,30.959999999999997,58.0,0.6463414634146342,31.28
99,Devin Booker,2020,39.44,70,0.4657534246575342,39.68,64,0.23170731707317074,0.0
100,Domantas Sabonis,2020,39.379999999999995,62.0,0.6164383561643836,28.740000000000002,74.0,0.5853658536585366,22.060000000000002
101,Jayson Tatum,2020,35.4,66,0.6666666666666666,25.419999999999998,79,0.5975609756097561,25.519999999999996
102,Nikola Jokić,2020,39.94,73,0.6301369863013698,41.82000000000001,80,0.6585365853658537,50.78
103,Giannis Antetokounmpo,2020,52.54,63,0.7671232876712328,49.78,72,0.7317073170731707,46.14
104,Kemba Walker,2020,30.839999999999996,56.0,0.6666666666666666,37.96,82.0,0.47560975609756095,0.0
105,Joel Embiid,2020,40.519999999999996,51,0.589041095890411,48.260000000000005,64,0.6219512195121951,36.879999999999995
106,Pascal Siakam,2020,35.86,60,0.7361111111111112,28.9,80,0.7073170731707317,30.879999999999995
107,Trae Young,2020,45.92,60,0.29850746268656714,33.260000000000005,81,0.35365853658536583,0.0
108,Kyle Lowry,2020,34.4,58.0,0.7361111111111112,30.4,65.0,0.7073170731707317,28.799999999999997
109,Khris Middleton,2020,33.5,62.0,0.7671232876712328,30.660000000000004,77.0,0.7317073170731707,29.739999999999995
